TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv,timestamp
792827429.0,2.0,494.0,17514.0,46010.0,51167.0,48693.0,1668050965.14645
793830103.0,2.0,493.0,17439.0,46024.0,51046.0,48456.0,1668050966.149124
794832416.0,2.0,495.0,17547.0,46291.0,51154.0,48689.0,1668050967.151437
795834874.0,2.0,494.0,17522.0,45724.0,51139.0,48561.0,1668050968.153895
796837118.0,2.0,494.0,17474.0,46020.0,51134.0,48766.0,1668050969.156139
797839810.0,2.0,492.0,17436.0,45597.0,50988.0,48052.0,1668050970.158831
798842537.0,2.0,493.0,17475.0,46486.0,51117.0,48902.0,1668050971.161558
799844869.0,2.0,491.0,17407.0,45697.0,51045.0,48277.0,1668050972.16389
800845019.0,2.0,494.0,17532.0,46229.0,51140.0,48621.0,1668050973.16404
801847136.0,2.0,494.0,17484.0,46153.0,51149.0,48739.0,1668050974.166157
802849714.0,2.0,491.0,17403.0,46162.0,51170.0,48595.0,1668050975.168735
803852399.0,2.0,492.0,17446.0,46063.0,51139.0,48626.0,1668050976.17142
804854877.0,2.0,492.0,17456.0,46010.0,51067.0,48476.0,1668050977.173898
805857176.0,2.0,493.0,17503.0,46177.0,51136.0,48867.0,1668050978.176197
806859888.0,2.0,497.0,17623.0,45812.0,51049.0,48284.0,1668050979.178909
807862428.0,2.0,492.0,17446.0,46075.0,51146.0,48816.0,1668050980.181449
808864852.0,2.0,491.0,17407.0,45974.0,51114.0,48488.0,1668050981.183873
809867248.0,2.0,492.0,17436.0,45943.0,51043.0,48555.0,1668050982.186269
810869696.0,2.0,494.0,17532.0,45881.0,51100.0,48380.0,1668050983.188717
811872451.0,2.0,494.0,17474.0,45900.0,51108.0,48478.0,1668050984.191472
812874978.0,2.0,493.0,17475.0,46270.0,51159.0,48800.0,1668050985.193999
813877267.0,2.0,491.0,17407.0,45758.0,51055.0,48407.0,1668050986.1962879
814880223.0,2.0,501.0,17738.0,45875.0,51091.0,48424.0,1668050987.199244
815882775.0,2.0,519.0,18430.0,46046.0,51133.0,48670.0,1668050988.201796
816884931.0,2.0,494.0,17464.0,46342.0,51151.0,48867.0,1668050989.203952
817887001.0,2.0,493.0,17465.0,46209.0,51102.0,48571.0,1668050990.206022
818887131.0,2.0,491.0,17407.0,46182.0,51134.0,48774.0,1668050991.206152
819889770.0,2.0,492.0,17436.0,46087.0,51177.0,48502.0,1668050992.208791
820892815.0,2.0,493.0,17503.0,46292.0,51131.0,48794.0,1668050993.211836
821895277.0,2.0,495.0,17513.0,45898.0,51179.0,48355.0,1668050994.214298
822897082.0,2.0,491.0,17407.0,46026.0,51144.0,48801.0,1668050995.216103
823899811.0,2.0,494.0,17566.0,45938.0,50858.0,48264.0,1668050996.218832
824902494.0,2.0,493.0,17485.0,45962.0,51132.0,48739.0,1668050997.221515
825904838.0,2.0,494.0,17532.0,45921.0,51113.0,48466.0,1668050998.223859
826907291.0,2.0,493.0,17445.0,46047.0,51142.0,48498.0,1668050999.226312
827909725.0,2.0,493.0,17455.0,45790.0,51053.0,48576.0,1668051000.228746
828912578.0,2.0,492.0,17456.0,46034.0,51172.0,48492.0,1668051001.231599
829915073.0,2.0,491.0,17407.0,46065.0,51103.0,48568.0,1668051002.234094
830917027.0,2.0,495.0,17571.0,45921.0,51173.0,48553.0,1668051003.236048
831920859.0,2.0,522.0,18511.0,46002.0,51120.0,48609.0,1668051004.23988
832922599.0,2.0,491.0,17407.0,45723.0,51071.0,48358.0,1668051005.24162
833924863.0,2.0,498.0,17569.0,45909.0,51027.0,48413.0,1668051006.243884
834927190.0,2.0,492.0,17436.0,46053.0,51068.0,48534.0,1668051007.246211
835929816.0,2.0,494.0,17542.0,46042.0,51183.0,48756.0,1668051008.248837
836932440.0,2.0,494.0,17484.0,46293.0,51044.0,48603.0,1668051009.251461
837934965.0,2.0,495.0,17563.0,45766.0,51122.0,48637.0,1668051010.253986
838937217.0,2.0,497.0,17641.0,46007.0,51175.0,48374.0,1668051011.256238
