TimeUS,chan,txp,rxp,rxdp,flags,timestamp
952713979.0,1.0,22176.0,937.0,0.0,6.0,1668051125.033
953716572.0,1.0,22277.0,938.0,0.0,6.0,1668051126.035593
954718999.0,1.0,22379.0,939.0,0.0,6.0,1668051127.03802
955721272.0,1.0,22480.0,940.0,0.0,6.0,1668051128.040293
956724213.0,1.0,22581.0,941.0,0.0,6.0,1668051129.0432339
957726698.0,1.0,22682.0,942.0,0.0,6.0,1668051130.045719
958728803.0,1.0,22783.0,943.0,0.0,6.0,1668051131.047824
959731800.0,1.0,22885.0,944.0,0.0,6.0,1668051132.050821
960733900.0,1.0,22988.0,945.0,0.0,6.0,1668051133.052921
961734067.0,1.0,23089.0,946.0,0.0,6.0,1668051134.053088
962736573.0,1.0,23190.0,947.0,0.0,6.0,1668051135.055594
963738821.0,1.0,23291.0,948.0,0.0,6.0,1668051136.057842
964741367.0,1.0,23392.0,949.0,0.0,6.0,1668051137.060388
969753858.0,1.0,23900.0,954.0,0.0,6.0,1668051142.072879
970756488.0,1.0,24002.0,955.0,0.0,6.0,1668051143.075509
971758874.0,1.0,24104.0,956.0,0.0,6.0,1668051144.077895
972761272.0,1.0,24205.0,957.0,0.0,6.0,1668051145.080293
973764072.0,1.0,24306.0,958.0,0.0,6.0,1668051146.083093
974766762.0,1.0,24407.0,959.0,0.0,6.0,1668051147.085783
975768830.0,1.0,24508.0,960.0,0.0,6.0,1668051148.087851
976771579.0,1.0,24610.0,961.0,0.0,6.0,1668051149.0906
977773897.0,1.0,24711.0,962.0,0.0,6.0,1668051150.092918
978774054.0,1.0,24812.0,963.0,0.0,6.0,1668051151.093075
979776686.0,1.0,24915.0,964.0,0.0,6.0,1668051152.095707
980778905.0,1.0,25017.0,965.0,0.0,6.0,1668051153.097926
981781675.0,1.0,25120.0,966.0,0.0,6.0,1668051154.100696
982784201.0,1.0,25222.0,967.0,0.0,6.0,1668051155.103222
983786738.0,1.0,25323.0,968.0,0.0,6.0,1668051156.105759
984788937.0,1.0,25424.0,969.0,0.0,6.0,1668051157.107958
985791830.0,1.0,25525.0,970.0,0.0,6.0,1668051158.110851
986794186.0,1.0,25626.0,971.0,0.0,6.0,1668051159.113207
987796681.0,1.0,25728.0,972.0,0.0,6.0,1668051160.115702
988798825.0,1.0,25829.0,973.0,0.0,6.0,1668051161.117846
989801353.0,1.0,25930.0,974.0,0.0,6.0,1668051162.120374
990804047.0,1.0,26032.0,975.0,0.0,6.0,1668051163.123068
991806527.0,1.0,26133.0,976.0,0.0,6.0,1668051164.125548
992808990.0,1.0,26238.0,977.0,0.0,6.0,1668051165.128011
993811494.0,1.0,26340.0,978.0,0.0,6.0,1668051166.130515
994814253.0,1.0,26441.0,979.0,0.0,6.0,1668051167.133274
995816642.0,1.0,26542.0,980.0,0.0,6.0,1668051168.135663
996818880.0,1.0,26643.0,981.0,0.0,6.0,1668051169.137901
997821616.0,1.0,26744.0,982.0,0.0,6.0,1668051170.140637
998824234.0,1.0,26846.0,983.0,0.0,6.0,1668051171.143255
999826733.0,1.0,26947.0,984.0,0.0,6.0,1668051172.145754
1000828943.0,1.0,27049.0,985.0,0.0,6.0,1668051173.147964
1001831383.0,1.0,27150.0,986.0,0.0,6.0,1668051174.150404
1002834097.0,1.0,27251.0,987.0,0.0,6.0,1668051175.153118
1003836669.0,1.0,27352.0,988.0,0.0,6.0,1668051176.15569
1004838861.0,1.0,27454.0,989.0,0.0,6.0,1668051177.157882
1005841354.0,1.0,27555.0,990.0,0.0,6.0,1668051178.1603749
1006844142.0,1.0,27656.0,991.0,0.0,6.0,1668051179.163163
1007846608.0,1.0,27757.0,992.0,0.0,6.0,1668051180.165629
1008848936.0,1.0,27858.0,993.0,0.0,6.0,1668051181.167957
1009851406.0,1.0,27960.0,994.0,0.0,6.0,1668051182.170427
1010854101.0,1.0,28064.0,995.0,0.0,6.0,1668051183.173122
1011856726.0,1.0,28165.0,996.0,0.0,6.0,1668051184.175747
1012858892.0,1.0,28266.0,997.0,0.0,6.0,1668051185.177913
1013861397.0,1.0,28367.0,998.0,0.0,6.0,1668051186.180418
1014864880.0,1.0,28468.0,999.0,0.0,6.0,1668051187.183901
1015867354.0,1.0,28570.0,1000.0,0.0,6.0,1668051188.186375
1016868822.0,1.0,28671.0,1001.0,0.0,6.0,1668051189.187843
1017871758.0,1.0,28772.0,1002.0,0.0,6.0,1668051190.190779
1018874211.0,1.0,28873.0,1003.0,0.0,6.0,1668051191.193232
1019876716.0,1.0,28974.0,1004.0,0.0,6.0,1668051192.195737
1020878958.0,1.0,29077.0,1005.0,0.0,6.0,1668051193.197979
1021881340.0,1.0,29178.0,1006.0,0.0,6.0,1668051194.200361
1022884714.0,1.0,29279.0,1007.0,0.0,6.0,1668051195.2037349
1023887004.0,1.0,29380.0,1008.0,0.0,6.0,1668051196.206025
1024888936.0,1.0,29481.0,1009.0,0.0,6.0,1668051197.207957
1025891469.0,1.0,29582.0,1010.0,0.0,6.0,1668051198.21049
1026894094.0,1.0,29684.0,1011.0,0.0,6.0,1668051199.213115
1027896672.0,1.0,29785.0,1012.0,0.0,6.0,1668051200.215693
1028898902.0,1.0,29886.0,1013.0,0.0,6.0,1668051201.217923
1029901400.0,1.0,29987.0,1014.0,0.0,6.0,1668051202.220421
1030904368.0,1.0,30089.0,1015.0,0.0,6.0,1668051203.223389
1031906588.0,1.0,30191.0,1016.0,0.0,6.0,1668051204.225609
1032908951.0,1.0,30296.0,1017.0,0.0,6.0,1668051205.227972
1033911560.0,1.0,30397.0,1018.0,0.0,6.0,1668051206.230581
1034914179.0,1.0,30498.0,1019.0,0.0,6.0,1668051207.2332
1035916708.0,1.0,30604.0,1020.0,0.0,6.0,1668051208.235729
1036918908.0,1.0,30709.0,1021.0,0.0,6.0,1668051209.237929
1037921723.0,1.0,30813.0,1022.0,0.0,6.0,1668051210.2407439
1038924144.0,1.0,30914.0,1023.0,0.0,6.0,1668051211.243165
