TimeUS,Name,Value,timestamp
220925295,SR3_RAW_SENS,0.0,1668050393.244316
220925363,SR3_EXT_STAT,0.0,1668050393.244384
220925403,SR3_RC_CHAN,0.0,1668050393.244424
220925419,SR3_RAW_CTRL,0.0,1668050393.24444
220925451,SR3_POSITION,0.0,1668050393.244472
220925467,SR3_EXTRA1,0.0,1668050393.244488
220925483,SR3_EXTRA2,0.0,1668050393.244504
220925498,SR3_EXTRA3,0.0,1668050393.244519
220925514,SR3_PARAMS,0.0,1668050393.244535
220925531,SR3_ADSB,0.0,1668050393.244552
220925590,AHRS_GPS_GAIN,1.0,1668050393.244611
220925607,AHRS_GPS_USE,1.0,1668050393.244628
220925622,AHRS_YAW_P,0.30000001192092896,1668050393.244643
220925637,AHRS_RP_P,0.10000000149011612,1668050393.244658
220925653,AHRS_WIND_MAX,0.0,1668050393.244674
220925671,AHRS_TRIM_X,-0.0171442199498415,1668050393.244692
220925687,AHRS_TRIM_Y,-0.0015187060926109552,1668050393.244708
220925703,AHRS_TRIM_Z,0.0,1668050393.244724
220925783,AHRS_ORIENTATION,0.0,1668050393.244804
220925800,AHRS_COMP_BETA,0.10000000149011612,1668050393.244821
220925818,AHRS_GPS_MINSATS,10.0,1668050393.244839
220925836,AHRS_EKF_TYPE,2.0,1668050393.244857
220925853,AHRS_CUSTOM_ROLL,0.0,1668050393.244874
220925870,AHRS_CUSTOM_PIT,0.0,1668050393.244891
220926003,AHRS_CUSTOM_YAW,0.0,1668050393.245024
220926023,MNT_DEFLT_MODE,3.0,1668050393.245044
220926040,MNT_RETRACT_X,0.0,1668050393.245061
220926055,MNT_RETRACT_Y,0.0,1668050393.245076
220926071,MNT_RETRACT_Z,0.0,1668050393.245092
220926087,MNT_NEUTRAL_X,0.0,1668050393.245108
220926143,MNT_NEUTRAL_Y,0.0,1668050393.245164
220926198,MNT_NEUTRAL_Z,0.0,1668050393.245219
220926217,MNT_STAB_ROLL,0.0,1668050393.245238
220926234,MNT_STAB_TILT,0.0,1668050393.245255
220926252,MNT_STAB_PAN,0.0,1668050393.2452729
220926269,MNT_RC_IN_ROLL,0.0,1668050393.24529
220926285,MNT_ANGMIN_ROL,-4500.0,1668050393.245306
220926302,MNT_ANGMAX_ROL,4500.0,1668050393.245323
220926426,MNT_RC_IN_TILT,0.0,1668050393.245447
220926462,MNT_ANGMIN_TIL,-4500.0,1668050393.245483
220926480,MNT_ANGMAX_TIL,4500.0,1668050393.245501
220926498,MNT_RC_IN_PAN,0.0,1668050393.245519
220926516,MNT_ANGMIN_PAN,-4500.0,1668050393.245537
220926533,MNT_ANGMAX_PAN,4500.0,1668050393.245554
220926599,MNT_JSTICK_SPD,0.0,1668050393.24562
220926618,MNT_LEAD_RLL,0.0,1668050393.245639
220926636,MNT_LEAD_PTCH,0.0,1668050393.245657
220926656,MNT_TYPE,0.0,1668050393.245677
220926674,LOG_BACKEND_TYPE,1.0,1668050393.2456949
220926690,LOG_FILE_BUFSIZE,50.0,1668050393.245711
220926705,LOG_DISARMED,0.0,1668050393.2457259
220926784,LOG_REPLAY,0.0,1668050393.245805
220926802,LOG_FILE_DSRMROT,0.0,1668050393.245823
220926819,LOG_MAV_BUFSIZE,8.0,1668050393.24584
220926835,LOG_FILE_TIMEOUT,5.0,1668050393.245856
220926854,BATT_MONITOR,3.0,1668050393.245875
220926872,BATT_VOLT_PIN,0.0,1668050393.245893
220926990,BATT_CURR_PIN,1.0,1668050393.246011
220927034,BATT_VOLT_MULT,18.0,1668050393.246055
220927052,BATT_AMP_PERVLT,24.0,1668050393.246073
220927069,BATT_AMP_OFFSET,0.0,1668050393.24609
220927087,BATT_CAPACITY,25000.0,1668050393.246108
220927106,BATT_SERIAL_NUM,-1.0,1668050393.246127
220927167,BATT_LOW_TIMER,10.0,1668050393.246188
220927232,BATT_FS_VOLTSRC,0.0,1668050393.246253
220927251,BATT_LOW_VOLT,0.0,1668050393.246272
220927270,BATT_LOW_MAH,0.0,1668050393.246291
220927289,BATT_CRT_VOLT,45.0,1668050393.24631
220927308,BATT_CRT_MAH,0.0,1668050393.246329
220927409,BATT_FS_LOW_ACT,0.0,1668050393.24643
220927432,BATT_FS_CRT_ACT,0.0,1668050393.246453
220927452,BATT_ARM_VOLT,50.0,1668050393.246473
220927506,BATT_ARM_MAH,0.0,1668050393.246527
220927530,BATT_BUS,0.0,1668050393.246551
220927691,BATT2_MONITOR,0.0,1668050393.246712
220928056,BATT3_MONITOR,0.0,1668050393.247077
220928454,BATT4_MONITOR,0.0,1668050393.247475
220929007,BATT5_MONITOR,0.0,1668050393.248028
220929592,BATT6_MONITOR,0.0,1668050393.2486129
220930247,BATT7_MONITOR,0.0,1668050393.249268
220931060,BATT8_MONITOR,0.0,1668050393.250081
220931967,BATT9_MONITOR,0.0,1668050393.250988
220932034,BRD_PWM_COUNT,5.0,1668050393.251055
220932051,BRD_SER1_RTSCTS,0.0,1668050393.251072
220932067,BRD_SER2_RTSCTS,0.0,1668050393.251088
220932084,BRD_SAFETYENABLE,0.0,1668050393.251105
220932141,BRD_SBUS_OUT,0.0,1668050393.251162
220932196,BRD_SERIAL_NUM,0.0,1668050393.251217
220932213,BRD_SAFETY_MASK,16368.0,1668050393.251234
220932230,BRD_TYPE,24.0,1668050393.251251
220932248,BRD_IO_ENABLE,1.0,1668050393.251269
220932264,BRD_SAFETYOPTION,3.0,1668050393.251285
220932285,BRD_RTC_TYPES,1.0,1668050393.251306
220932304,BRD_RTC_TZ_MIN,0.0,1668050393.251325
220932431,BRD_VBUS_MIN,4.300000190734863,1668050393.251452
220932455,BRD_VSERVO_MIN,0.0,1668050393.251476
220932476,BRD_SD_SLOWDOWN,0.0,1668050393.251497
220932495,BRD_OPTIONS,1.0,1668050393.251516
220932514,BRD_BOOT_DELAY,0.0,1668050393.251535
220932535,BRD_ALT_CONFIG,0.0,1668050393.251556
220932619,CAN_P1_DRIVER,0.0,1668050393.25164
220932645,CAN_P2_DRIVER,0.0,1668050393.251666
220932667,CAN_D1_PROTOCOL,1.0,1668050393.251688
220932692,CAN_D2_PROTOCOL,1.0,1668050393.251713
220932720,CAN_SLCAN_CPORT,0.0,1668050393.251741
220932817,CAN_SLCAN_SERNUM,-1.0,1668050393.251838
220932842,CAN_SLCAN_TIMOUT,0.0,1668050393.251863
220932869,SPRAY_ENABLE,0.0,1668050393.25189
220932955,GND_ABS_PRESS,101333.28125,1668050393.251976
220933013,GND_TEMP,0.0,1668050393.252034
220933029,GND_ALT_OFFSET,0.0,1668050393.25205
220933045,GND_PRIMARY,0.0,1668050393.252066
220933061,GND_EXT_BUS,-1.0,1668050393.2520819
220933077,GND_ABS_PRESS2,0.0,1668050393.252098
220933093,GND_ABS_PRESS3,0.0,1668050393.252114
220933157,GND_FLTR_RNG,0.0,1668050393.252178
220933213,GND_PROBE_EXT,0.0,1668050393.252234
220933230,GPS_TYPE,1.0,1668050393.252251
220933246,GPS_TYPE2,0.0,1668050393.252267
220933262,GPS_NAVFILTER,8.0,1668050393.252283
220933279,GPS_AUTO_SWITCH,1.0,1668050393.2523
