TimeUS,SetP,NxtP,TotP,SPD,CLat,CLng,CAlt,Opt1,timestamp
808582919.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050980.9019399
809582855.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050981.901876
810582910.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050982.901931
811583026.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050983.902047
812582873.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050984.901894
813582892.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050985.901913
814582945.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050986.901966
815582963.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050987.901984
816583031.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050988.902052
817582823.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050989.901844
818583052.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050990.902073
819582974.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050991.901995
820583061.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050992.902082
821582936.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050993.901957
822582892.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050994.901913
823582983.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050995.902004
824582975.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050996.901996
825582974.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050997.901995
826582961.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050998.901982
827582939.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050999.90196
828422499.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668051000.74152
829422441.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668051001.741462
830422554.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668051002.741575
