TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
420889432.0,0.0,0.0,2500.0,0.0,0.0,0.0,75.33853149414062,1.0,1.0,1668050593.208453
421889385.0,0.0,0.0,2500.0,0.0,0.0,0.0,75.33853149414062,1.0,1.0,1668050594.208406
422889352.0,0.0,0.0,2500.0,0.0,0.0,0.0,78.87956237792969,1.0,1.0,1668050595.208373
423889255.0,0.0,0.0,2500.0,0.0,0.0,0.0,79.51969146728516,1.0,1.0,1668050596.208276
424889386.0,0.0,0.0,2500.0,0.0,0.0,0.0,79.66111755371094,1.0,1.0,1668050597.208407
425889395.0,0.0,0.0,2500.0,0.0,0.0,0.0,79.66111755371094,1.0,1.0,1668050598.208416
426889383.0,0.0,0.0,2500.0,0.0,0.0,0.0,81.82063293457031,1.0,1.0,1668050599.208404
427889587.0,0.0,0.0,2500.0,0.0,0.0,0.0,82.8486557006836,1.0,1.0,1668050600.208608
428889363.0,0.0,0.0,2500.0,0.0,0.0,0.0,82.8486557006836,1.0,1.0,1668050601.208384
429889429.0,0.0,0.0,2500.0,0.0,0.0,0.0,83.13214874267578,1.0,1.0,1668050602.20845
430889464.0,0.0,0.0,2500.0,0.0,0.0,0.0,83.19225311279297,1.0,1.0,1668050603.208485
431889300.0,0.0,0.0,2500.0,0.0,0.0,0.0,83.19225311279297,1.0,1.0,1668050604.208321
432889280.0,0.0,0.0,2500.0,0.0,0.0,0.0,83.83067321777344,1.0,1.0,1668050605.208301
433889533.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.15132141113281,1.0,1.0,1668050606.208554
434889408.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.15132141113281,1.0,1.0,1668050607.208429
435889390.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.15132141113281,1.0,1.0,1668050608.208411
436889468.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.51178741455078,1.0,1.0,1668050609.208489
437889344.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.69566345214844,1.0,1.0,1668050610.208365
438889441.0,0.0,0.0,2500.0,0.0,0.0,0.0,84.69566345214844,1.0,1.0,1668050611.208462
439889358.0,0.0,0.0,2500.0,0.0,0.0,0.0,85.6552734375,1.0,1.0,1668050612.208379
440889468.0,0.0,0.0,2500.0,0.0,0.0,0.0,86.17977905273438,1.0,1.0,1668050613.208489
441889365.0,0.0,0.0,2500.0,0.0,0.0,0.0,86.17977905273438,1.0,1.0,1668050614.208386
442889379.0,0.0,0.0,2500.0,0.0,0.0,0.0,86.94015502929688,1.0,1.0,1668050615.2084
443889376.0,0.0,0.0,2500.0,0.0,0.0,0.0,87.43407440185547,1.0,1.0,1668050616.208397
444889295.0,0.0,0.0,2500.0,0.0,0.0,0.0,87.43407440185547,1.0,1.0,1668050617.208316
445889466.0,0.0,0.0,2500.0,0.0,0.0,0.0,89.06580352783203,1.0,1.0,1668050618.208487
446889339.0,0.0,0.0,2500.0,0.0,0.0,0.0,89.80267333984375,1.0,1.0,1668050619.20836
